x	y
3089	3.846e3
3089	3.855e3
3089	3.868e3
3089	3.873e3
3089	3.881e3
3089	3.884e3
3089	3.890e3
3089	3.866e3
3089	3.821e3
3089	3.825e3
3089	3.846e3
3089	3.837e3
3089	3.845e3
3089	3.837e3
3089	3.842e3
3089	3.853e3
3089	3.850e3
3089	3.842e3
3089	3.840e3
3089	3.863e3
3089	3.876e3
3089	3.880e3
3089	3.859e3
3089	3.846e3
3089	3.809e3
3089	3.792e3
3089	3.773e3
3090	3.781e3
3090	3.769e3
3090	3.738e3
3090	3.747e3
3090	3.732e3
3090	3.693e3
3090	3.684e3
3090	3.695e3
3090	3.703e3
3090	3.695e3
3090	3.692e3
3090	3.678e3
3090	3.669e3
3090	3.645e3
3090	3.651e3
3090	3.656e3
3090	3.645e3
3090	3.629e3
3090	3.635e3
3090	3.631e3
3090	3.604e3
3090	3.587e3
3090	3.579e3
3090	3.578e3
3090	3.566e3
3090	3.565e3
3090	3.553e3
3090	3.541e3
3090	3.547e3
3090	3.547e3
3090	3.532e3
3090	3.538e3
3090	3.541e3
3090	3.507e3
3090	3.492e3
3090	3.489e3
3090	3.484e3
3090	3.487e3
3090	3.493e3
3090	3.482e3
3090	3.482e3
3091	3.479e3
3091	3.476e3
3091	3.459e3
3091	3.434e3
3091	3.437e3
3091	3.437e3
3091	3.422e3
3091	3.410e3
3091	3.385e3
3091	3.372e3
3091	3.377e3
3091	3.402e3
3091	3.399e3
3091	3.382e3
3091	3.406e3
3091	3.423e3
3091	3.418e3
3091	3.392e3
3091	3.370e3
3091	3.353e3
3091	3.342e3
3091	3.338e3
3091	3.332e3
3091	3.327e3
3091	3.316e3
3091	3.310e3
3091	3.314e3
3091	3.314e3
3091	3.312e3
3091	3.302e3
3091	3.300e3
3091	3.302e3
3091	3.306e3
3091	3.313e3
3091	3.313e3
3091	3.308e3
3091	3.301e3
3091	3.307e3
3091	3.310e3
3091	3.312e3
3091	3.312e3
3091	3.314e3
3092	3.319e3
3092	3.332e3
3092	3.332e3
3092	3.337e3
3092	3.324e3
3092	3.310e3
3092	3.291e3
3092	3.287e3
3092	3.274e3
3092	3.283e3
3092	3.276e3
3092	3.278e3
3092	3.291e3
3092	3.259e3
3092	3.247e3
3092	3.259e3
3092	3.274e3
3092	3.298e3
3092	3.298e3
3092	3.300e3
3092	3.296e3
3092	3.296e3
3092	3.305e3
3092	3.293e3
3092	3.301e3
3092	3.299e3
3092	3.302e3
3092	3.318e3
3092	3.338e3
3092	3.355e3
3092	3.370e3
3092	3.381e3
3092	3.383e3
3092	3.409e3
3092	3.417e3
3092	3.424e3
3092	3.432e3
3092	3.454e3
3092	3.485e3
3092	3.503e3
3092	3.506e3
3093	3.502e3
3093	3.521e3
3093	3.524e3
3093	3.516e3
3093	3.507e3
3093	3.505e3
3093	3.502e3
3093	3.511e3
3093	3.502e3
3093	3.487e3
3093	3.486e3
3093	3.490e3
3093	3.502e3
3093	3.511e3
3093	3.542e3
3093	3.565e3
3093	3.558e3
3093	3.561e3
3093	3.578e3
3093	3.568e3
3093	3.586e3
3093	3.588e3
3093	3.595e3
3093	3.610e3
3093	3.619e3
3093	3.623e3
3093	3.656e3
3093	3.647e3
3093	3.647e3
3093	3.648e3
3093	3.627e3
3093	3.646e3
3093	3.644e3
3093	3.631e3
3093	3.612e3
3093	3.621e3
3093	3.627e3
3093	3.626e3
3093	3.623e3
3093	3.623e3
3093	3.597e3
3094	3.572e3
3094	3.555e3
3094	3.519e3
3094	3.521e3
3094	3.529e3
3094	3.523e3
3094	3.496e3
3094	3.473e3
3094	3.463e3
3094	3.464e3
3094	3.456e3
3094	3.426e3
3094	3.417e3
3094	3.419e3
3094	3.424e3
3094	3.419e3
3094	3.411e3
3094	3.383e3
3094	3.384e3
3094	3.379e3
3094	3.367e3
3094	3.361e3
3094	3.355e3
3094	3.338e3
3094	3.309e3
3094	3.287e3
3094	3.289e3
3094	3.293e3
3094	3.300e3
3094	3.302e3
3094	3.292e3
3094	3.273e3
3094	3.277e3
3094	3.296e3
3094	3.305e3
3094	3.316e3
3094	3.308e3
3094	3.325e3
3094	3.324e3
3094	3.309e3
3094	3.323e3
3095	3.325e3
3095	3.344e3
3095	3.365e3
3095	3.377e3
3095	3.356e3
3095	3.365e3
3095	3.376e3
3095	3.384e3
3095	3.371e3
3095	3.379e3
3095	3.374e3
3095	3.390e3
3095	3.401e3
3095	3.393e3
3095	3.374e3
3095	3.373e3
3095	3.372e3
3095	3.359e3
3095	3.352e3
3095	3.356e3
3095	3.381e3
3095	3.397e3
3095	3.409e3
3095	3.420e3
3095	3.402e3
3095	3.394e3
3095	3.385e3
3095	3.397e3
3095	3.399e3
3095	3.419e3
3095	3.433e3
3095	3.448e3
3095	3.444e3
3095	3.465e3
3095	3.482e3
3095	3.492e3
3095	3.519e3
3095	3.523e3
3095	3.507e3
3095	3.503e3
3095	3.504e3
3096	3.514e3
3096	3.492e3
3096	3.490e3
3096	3.488e3
3096	3.456e3
3096	3.429e3
3096	3.418e3
3096	3.402e3
3096	3.387e3
3096	3.386e3
3096	3.357e3
3096	3.312e3
3096	3.293e3
3096	3.280e3
3096	3.309e3
3096	3.299e3
3096	3.301e3
3096	3.280e3
3096	3.286e3
3096	3.293e3
3096	3.311e3
3096	3.318e3
3096	3.324e3
3096	3.336e3
3096	3.355e3
3096	3.367e3
3096	3.359e3
3096	3.374e3
3096	3.381e3
3096	3.364e3
3096	3.336e3
3096	3.316e3
3096	3.291e3
3096	3.275e3
3096	3.294e3
3096	3.286e3
3096	3.298e3
3096	3.299e3
3096	3.313e3
3096	3.313e3
3096	3.302e3
3097	3.276e3
3097	3.281e3
